Date,Vol
2010-10-10,856.0
2010-10-11,0.0
2010-10-12,185.0
2010-10-13,86.0
2010-10-14,661.0
2010-10-15,271.0
2010-10-16,2.0
2010-10-17,0.0
2010-10-18,56.0
2010-10-19,263.0
2010-10-20,375.0
2010-10-21,343.0
2010-10-22,75.0
2010-10-23,380.0
2010-10-24,69.0
2010-10-25,79.0
2010-10-26,437.0
2010-10-27,140.0
2010-10-28,9.0
2010-10-29,11.0
2010-10-30,8.0
2010-10-31,6.0
2010-11-01,102.0
2010-11-02,118.0
2010-11-03,32.0
2010-11-04,76.0
2010-11-05,97.0
2010-11-06,185.0
2010-11-07,8.0
2010-11-08,110.0
2010-11-09,144.0
2010-11-10,53.0
2010-11-11,224.0
2010-11-12,55.0
2010-11-13,63.0
2010-11-14,221.0
2010-11-15,44.0
2010-11-16,24.0
2010-11-17,32.0
2010-11-18,43.0
2010-11-19,143.0
2010-11-20,47.0
2010-11-21,132.0
2010-11-22,12.0
2010-11-23,450.0
2010-11-24,99.0
2010-11-25,5.0
2010-11-26,89.0
2010-11-27,16.0
2010-11-28,41.0
2010-11-29,140.0
2010-11-30,22.0
2010-12-01,286.0
2010-12-02,40.0
2010-12-03,8.0
2010-12-04,15.0
2010-12-05,11.0
2010-12-06,6.0
2010-12-07,154.0
2010-12-08,56.0
2010-12-09,85.0
2010-12-10,10.0
2010-12-11,15.0
2010-12-12,11.0
2010-12-13,24.0
2010-12-14,21.0
2010-12-15,9.0
2010-12-16,78.0
2010-12-17,60.0
2010-12-18,15.0
2010-12-19,18.0
2010-12-20,7.0
2010-12-21,18.0
2010-12-22,17.0
2010-12-23,3.0
2010-12-24,10.636363636363637
2010-12-25,18.272727272727273
2010-12-26,25.90909090909091
2010-12-27,33.54545454545455
2010-12-28,41.18181818181818
2010-12-29,48.81818181818182
2010-12-30,56.45454545454545
2010-12-31,64.0909090909091
2011-01-01,71.72727272727273
2011-01-02,79.36363636363636
2011-01-03,87.0
2011-01-04,195.0
2011-01-05,150.0
2011-01-06,1.0
2011-01-07,157.0
2011-01-08,127.0
2011-01-09,115.0
2011-01-10,147.0
2011-01-11,47.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,57.0
2011-01-16,120.0
2011-01-17,125.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,169.0
2011-01-26,47.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,3.111111111111111
2011-01-30,6.222222222222222
2011-01-31,9.333333333333334
2011-02-01,12.444444444444445
2011-02-02,15.555555555555557
2011-02-03,18.666666666666668
2011-02-04,21.77777777777778
2011-02-05,24.88888888888889
2011-02-06,28.0
2011-02-07,45.0
2011-02-08,26.0
2011-02-09,93.0
2011-02-10,58.0
2011-02-11,17.0
2011-02-12,66.0
2011-02-13,9.0
2011-02-14,107.0
2011-02-15,31.0
2011-02-16,182.0
2011-02-17,18.0
2011-02-18,89.0
2011-02-19,4.0
2011-02-20,13.0
2011-02-21,8.0
2011-02-22,204.0
2011-02-23,10.0
2011-02-24,64.0
2011-02-25,106.0
2011-02-26,40.0
2011-02-27,56.0
2011-02-28,61.0
2011-03-01,165.0
2011-03-02,50.0
2011-03-03,13.0
2011-03-04,14.0
2011-03-05,124.0
2011-03-06,9.0
2011-03-07,199.0
2011-03-08,84.0
2011-03-09,25.0
2011-03-10,23.0
2011-03-11,13.0
2011-03-12,184.0
2011-03-13,29.0
2011-03-14,66.0
2011-03-15,39.0
2011-03-16,85.0
2011-03-17,107.0
2011-03-18,118.0
2011-03-19,310.0
2011-03-20,181.0
2011-03-21,79.0
2011-03-22,124.0
2011-03-23,135.0
2011-03-24,226.0
2011-03-25,116.0
2011-03-26,3.0
2011-03-27,33.0
2011-03-28,43.0
2011-03-29,176.0
2011-03-30,15.0
2011-03-31,149.0
2011-04-01,41.0
2011-04-02,6.0
2011-04-03,20.0
2011-04-04,67.0
2011-04-05,85.0
2011-04-06,138.0
2011-04-07,103.0
2011-04-08,332.0
2011-04-09,71.0
2011-04-10,42.0
2011-04-11,26.0
2011-04-12,7.0
2011-04-13,320.0
2011-04-14,157.0
2011-04-15,9.0
2011-04-16,112.0
2011-04-17,402.0
2011-04-18,180.0
2011-04-19,344.0
2011-04-20,60.0
2011-04-21,108.0
2011-04-22,57.0
2011-04-23,333.0
2011-04-24,239.0
2011-04-25,658.0
2011-04-26,18.0
2011-04-27,668.0
2011-04-28,68.0
2011-04-29,32.0
2011-04-30,101.0
2011-05-01,27.0
2011-05-02,120.0
2011-05-03,75.0
2011-05-04,29.0
2011-05-05,25.0
2011-05-06,176.0
2011-05-07,89.0
2011-05-08,75.0
2011-05-09,128.0
2011-05-10,23.0
2011-05-11,103.0
2011-05-12,5.0
2011-05-13,75.0
2011-05-14,30.0
2011-05-15,24.0
2011-05-16,70.0
2011-05-17,5.0
2011-05-18,115.0
2011-05-19,82.0
2011-05-20,76.0
2011-05-21,115.0
2011-05-22,94.0
2011-05-23,4.0
2011-05-24,5.0
2011-05-25,1.0
2011-05-26,5.0
2011-05-27,27.0
2011-05-28,14.0
2011-05-29,54.0
2011-05-30,57.0
2011-05-31,22.0
2011-06-01,129.0
2011-06-02,245.0
2011-06-03,21.0
2011-06-04,67.0
2011-06-05,33.0
2011-06-06,317.0
2011-06-07,6.0
2011-06-08,169.0
2011-06-09,11.0
2011-06-10,143.0
2011-06-11,101.0
2011-06-12,24.0
2011-06-13,54.0
2011-06-14,127.0
2011-06-15,15.0
2011-06-16,21.0
2011-06-17,456.0
